ID,Netflix,Hulu,Prime Video,Disney+
613,1,1,0,0
626,1,0,1,0
631,1,0,1,0
636,1,1,0,0
647,1,0,1,0
667,1,1,1,0
678,1,0,1,0
713,1,0,0,1
726,1,1,0,0
764,1,0,1,0
779,1,1,0,0
797,1,0,1,0
814,1,0,1,0
822,1,1,1,0
824,1,0,1,0
830,1,0,1,0
894,1,0,1,0
898,1,0,1,0
903,1,0,1,0
935,1,0,1,0
964,1,0,1,0
974,1,1,0,0
990,1,1,0,0
1066,1,0,1,0
1081,1,0,1,0
1099,1,0,1,0
1116,1,0,1,0
1122,1,1,0,0
1216,1,0,1,0
1241,1,0,1,0
1253,1,0,1,0
1278,1,0,1,0
1315,1,1,0,0
1327,1,1,0,0
1328,1,0,1,0
1331,1,1,1,1
1338,1,0,1,0
1344,1,0,1,0
1380,1,0,1,0
1381,1,0,1,0
1415,1,0,1,0
1430,1,0,1,0
1466,1,1,1,0
1482,1,0,1,0
1498,1,0,1,0
1510,1,0,1,0
1519,1,0,1,0
1528,1,0,1,0
1618,1,1,0,0
1638,1,0,1,0
1648,1,0,1,0
1675,1,1,0,0
1709,1,0,1,0
1712,1,0,1,0
1753,1,0,1,0
1754,1,0,1,0
1768,1,1,0,0
1792,1,0,1,0
1798,1,0,1,0
1814,1,0,0,1
1817,1,0,1,0
1831,1,1,1,0
1853,1,0,1,0
1854,1,0,1,0
1976,1,0,1,0
2002,1,1,0,0
2030,1,0,0,1
2076,1,0,1,0
2094,1,0,1,0
2123,1,1,0,0
2169,1,0,1,0
2171,1,0,1,1
2173,1,0,1,0
2203,1,0,1,0
2235,1,0,1,0
2244,1,0,1,0
2247,1,0,1,0
2260,1,1,0,0
2334,1,0,1,0
2349,1,0,1,0
2364,1,0,1,0
2412,1,0,1,0
2452,1,0,1,0
2480,1,0,1,0
2703,1,1,0,0
2708,1,0,1,0
2876,1,0,1,0
2897,1,0,1,0
2917,1,0,1,0
3308,1,1,0,0
3659,1,1,0,0
3696,0,1,0,0
3697,0,1,0,0
3698,0,1,0,0
3699,0,1,0,0
3700,0,1,0,0
3701,0,1,0,0
3702,0,1,0,0
3703,0,1,0,0
3704,0,1,0,0
3705,0,1,0,0
3706,0,1,0,0
3707,0,1,0,0
3708,0,1,0,0
3709,0,1,0,0
3710,0,1,0,0
3711,0,1,1,0
3712,0,1,1,0
3713,0,1,0,0
3714,0,1,0,0
3715,0,1,0,0
3716,0,1,0,0
3717,0,1,0,0
3718,0,1,0,0
3719,0,1,0,0
3720,0,1,0,0
3721,0,1,0,0
3722,0,1,0,0
3723,0,1,1,0
3724,0,1,0,0
3725,0,1,0,0
3726,0,1,0,0
3727,0,1,0,0
3728,0,1,0,0
3729,0,1,0,0
3730,0,1,0,0
3731,0,1,0,0
3732,0,1,0,0
3733,0,1,0,0
3734,0,1,0,0
3735,0,1,0,0
3736,0,1,0,0
3737,0,1,0,0
3738,0,1,0,0
3739,0,1,0,0
3740,0,1,1,0
3741,0,1,0,0
3742,0,1,0,0
3743,0,1,0,0
3744,0,1,0,0
3745,0,1,0,0
3746,0,1,0,0
3747,0,1,0,0
3748,0,1,0,0
3749,0,1,1,0
3750,0,1,0,0
3751,0,1,0,0
3752,0,1,0,0
3753,0,1,0,0
3754,0,1,0,0
3755,0,1,0,0
3959,0,1,0,1
4132,0,1,0,1
4187,0,1,0,1
4204,0,1,0,1
4513,0,1,0,1
4847,0,0,1,1
4864,0,0,1,1
5418,0,0,1,1
5485,0,0,1,1
5604,0,0,1,1
5614,0,0,1,1
5677,0,0,1,1
5763,0,0,1,1
7019,0,0,1,1
7251,0,0,1,1
7654,0,0,1,1
8616,0,0,0,1
8617,0,0,0,1
8618,0,0,0,1
8619,0,0,0,1
8620,0,0,0,1
8621,0,0,0,1
8622,0,0,0,1
8623,0,0,0,1
8624,0,0,0,1
8625,0,0,0,1
8626,0,0,0,1
8627,0,0,0,1
8628,0,0,0,1
8629,0,0,0,1
8630,0,0,0,1
8631,0,0,0,1
8632,0,0,0,1
8633,0,0,0,1
8634,0,0,0,1
8635,0,0,0,1
8636,0,0,0,1
8637,0,0,0,1
8638,0,0,0,1
8639,0,0,0,1
8640,0,0,0,1
8641,0,0,0,1
8642,0,0,0,1
8643,0,0,0,1
8644,0,0,0,1
8645,0,0,0,1
8646,0,0,0,1
8647,0,0,0,1
8648,0,0,0,1
8649,0,0,0,1
8650,0,0,0,1
8651,0,0,0,1
8652,0,0,0,1
8653,0,0,0,1
8654,0,0,0,1
8655,0,0,0,1
8656,0,0,0,1
8657,0,0,0,1
8658,0,0,0,1
8659,0,0,0,1
8660,0,0,0,1
8661,0,0,0,1
8662,0,0,0,1
8663,0,0,0,1
8664,0,0,0,1
8665,0,0,0,1
8666,0,0,0,1
8667,0,0,0,1
8668,0,0,0,1
8669,0,0,0,1
8670,0,0,0,1
8671,0,0,0,1
8672,0,0,0,1
8673,0,0,0,1
8674,0,0,0,1
8675,0,0,0,1
8676,0,0,0,1
8677,0,0,0,1
8678,0,0,0,1
8679,0,0,0,1
8680,0,0,0,1
8681,0,0,0,1
8682,0,0,0,1
8683,0,0,0,1
8684,0,0,0,1
8685,0,0,0,1
8686,0,0,0,1
8687,0,0,0,1
8688,0,0,0,1
8689,0,0,0,1
8690,0,0,0,1
8691,0,0,0,1
8692,0,0,0,1
8693,0,0,0,1
